word,happy,sad
tweeting,-9.68992,-9.9161
lama,-9.69099,-8.8571
email,-9.69164,-10.02415
news,-9.69231,-9.43773
gets,-9.69243,-9.48567
sexy,-9.69302,-10.66133
bagus,-9.69492,-10.34277
started,-9.69615,-9.46292
gone,-9.69628,-8.45542
visit,-9.70028,-10.10757
laugh,-9.70185,-10.56587
rumah,-9.70478,-9.08162
worth,-9.70575,-10.36198
link,-9.70789,-9.87733
ako,-9.70986,-9.43635
yesss,-9.7106,-10.85407
wah,-9.7143,-9.23645
walk,-9.71725,-9.6889
pro,-9.71778,-9.36985
harus,-9.718,-9.24356
words,-9.72079,-10.13255
hati,-9.72108,-9.58129
outside,-9.72392,-9.20492
dengan,-9.72524,-10.1982
comes,-9.72759,-9.84635
kenal,-9.72853,-11.40055
mah,-9.729,-9.11054
luv,-9.73322,-10.71731
linda,-9.73742,-10.25252
ate,-9.74101,-9.35614
wrong,-9.74172,-8.58421
sometimes,-9.74175,-9.50751
mee,-9.74782,-9.71975
gitu,-9.75246,-9.06679
selalu,-9.75309,-10.12826
.!,-9.75604,-10.01604
pulang,-9.75633,-8.79466
sore,-9.75866,-8.80327
saying,-9.75907,-9.72033
kangen,-9.76025,-8.01561
shoutout,-9.76337,-11.75845
abis,-9.76404,-8.99607
pin,-9.76414,-9.99722
shall,-9.76675,-10.51876
ahaha,-9.76765,-10.17659
mba,-9.7687,-10.11216
voice,-9.77003,-9.75229
vida,-9.77135,-9.40014
tahun,-9.77381,-10.84956
season,-9.77594,-9.44342
ohhh,-9.78042,-9.75744
ago,-9.78337,-9.32503
bored,-9.78346,-8.24559
couple,-9.78407,-9.9861
cold,-9.78435,-8.21957
sma,-9.78711,-9.57887
thanx,-9.7877,-11.97073
story,-9.78895,-9.95137
test,-9.79009,-9.40455
jajajaja,-9.79035,-9.48201
avatar,-9.79068,-10.84011
white,-9.79313,-10.05026
gorgeous,-9.79925,-11.09665
lost,-9.79958,-8.12546
says,-9.80143,-9.66691
youuu,-9.80179,-10.24574
beach,-9.80319,-9.99825
won,-9.80458,-10.2075
moment,-9.8048,-9.65745
cake,-9.80752,-10.36971
single,-9.80783,-10.12238
enjoying,-9.8101,-10.92234
buena,-9.81262,-10.77134
espero,-9.81386,-10.05059
open,-9.81566,-9.62956
bet,-9.8178,-9.99309
emang,-9.81867,-9.24469
followback,-9.81882,-12.60841
needs,-9.81996,-9.38102
chill,-9.82001,-10.72376
bsk,-9.82038,-9.35716
semana,-9.82279,-9.5471
follower,-9.82342,-10.83061
sick,-9.82567,-7.42246
catch,-9.82585,-9.97389
town,-9.82736,-9.89615
sing,-9.8274,-10.02844
shout,-9.82816,-11.40031
aha,-9.8282,-10.75266
set,-9.83019,-10.0137
1st,-9.83055,-10.21797
either,-9.83391,-9.15424
youu,-9.8341,-10.4285
voltei,-9.83438,-11.43176
mall,-9.8364,-10.36324
cuma,-9.83648,-9.22257
:'),-9.83723,-9.9624
mommy,-9.83725,-10.05642
sms,-9.84138,-8.77226
yall,-9.84151,-10.1985
sekarang,-9.84199,-9.3818
easy,-9.84229,-10.35364
sakit,-9.84231,-7.8248
org,-9.84245,-9.52061
alone,-9.84469,-8.4312
kalian,-9.84747,-9.82284
belajar,-9.85004,-9.95378
interesting,-9.85108,-10.84241
side,-9.85182,-9.76536
boyfriend,-9.85195,-9.7888
heading,-9.852,-10.2487
halo,-9.85283,-11.69995
xoxo,-9.85385,-10.93915
siempre,-9.85731,-9.68077
meeting,-9.86006,-10.11102
pls,-9.86035,-9.95934
otw,-9.86055,-10.47191
yummy,-9.86737,-11.38651
mother,-9.86826,-9.8722
lindo,-9.87151,-10.4305
reason,-9.87222,-9.7107
second,-9.87331,-9.92863
blessed,-9.87571,-12.83935
starting,-9.87731,-9.56355
cream,-9.87764,-10.07715
sad,-9.87781,-7.04038
eyes,-9.87876,-9.36898
iphone,-9.87984,-9.46932
knew,-9.88282,-9.77562
seriously,-9.88385,-9.20574
mad,-9.88427,-8.98681
kenapa,-9.88712,-8.35239
raya,-9.88714,-12.58088
saludos,-9.88929,-11.4837
msn,-9.89064,-9.05074
chicken,-9.89113,-10.25735
samasama,-9.89269,-13.3587
pick,-9.8951,-10.15644
finish,-9.89593,-9.57544
loh,-9.89872,-9.51188
sampe,-9.89941,-9.28755
needed,-9.90018,-10.47093
akhirnya,-9.90022,-10.54937
kmu,-9.90088,-9.87325
ooh,-9.90335,-10.41029
ikut,-9.90507,-8.94371
dress,-9.90698,-10.30566
youtube,-9.90707,-10.0943
donk,-9.90831,-9.94804
ones,-9.90916,-9.86076
yuk,-9.90941,-9.98408
siii,-9.90997,-9.70127
gbu,-9.91099,-13.69251
kabar,-9.91135,-10.43137
london,-9.91136,-9.85802
noche,-9.91258,-10.26842
list,-9.91488,-10.33012
lagu,-9.91525,-10.24717
noches,-9.91527,-11.47673
via,-9.91803,-10.14691
move,-9.92145,-9.52286
bikin,-9.92148,-9.23797
april,-9.92209,-9.88477
&&,-9.92264,-10.41567
fam,-9.92466,-10.66692
;d,-9.92477,-10.35967
ketemu,-9.92491,-9.28989
club,-9.92496,-10.1524
skrg,-9.92645,-9.30802
hang,-9.92972,-9.87325
months,-9.93007,-9.59418
lancar,-9.93113,-11.63169
plz,-9.93301,-10.22719
mate,-9.93312,-10.51789
sleeping,-9.93371,-9.35076
heyy,-9.93434,-11.36239
homework,-9.9361,-8.95301
algo,-9.93633,-9.41405
plus,-9.93825,-9.78832
chance,-9.93896,-9.70586
imma,-9.94104,-10.07791
papa,-9.94121,-9.5987
sound,-9.94196,-9.93313
tidak,-9.94401,-9.6123
wedding,-9.94489,-10.67471
gave,-9.94808,-9.91299
band,-9.94859,-10.44948
cheers,-9.94947,-11.80781
blm,-9.94966,-8.92239
happen,-9.94977,-9.36097
kkk,-9.95044,-9.24163
pues,-9.95091,-9.74355
pacar,-9.95136,-9.76744
bbm,-9.95178,-9.29314
singing,-9.95183,-10.78208
chat,-9.95706,-9.93269
ooo,-9.95776,-10.23964
malem,-9.96177,-9.53922
cousin,-9.96511,-10.355
wkwk,-9.96953,-9.71058
teh,-9.96989,-9.93463
appreciate,-9.96994,-11.67905
share,-9.97202,-10.57291
s/o,-9.97314,-12.82974
:'(,-9.97387,-7.82907
works,-9.97391,-10.29475
mum,-9.97459,-9.51189
close,-9.97462,-9.57953
kapan,-9.97524,-9.21267
nope,-9.97797,-9.49609
whats,-9.97962,-9.82326
minutes,-9.98258,-9.64403
mal,-9.98342,-8.45631
beat,-9.98477,-10.39488
forgot,-9.98504,-8.84405
merci,-9.98526,-13.71779
"!""",-9.98541,-10.5335
pernah,-9.98948,-9.62377
iyaaa,-9.99472,-9.95061
jalan,-9.99507,-9.43323
terus,-9.99595,-9.37137
drive,-9.99622,-9.59248
makin,-9.99828,-9.78778
kelas,-9.99903,-10.29521
turn,-10.00125,-9.72966
jealous,-10.00223,-9.03244
meee,-10.00421,-9.96405
yum,-10.00433,-11.82805
belum,-10.00692,-9.18192
kid,-10.00807,-10.30913
mandi,-10.0083,-10.25684
goed,-10.00884,-11.29678
tickets,-10.00911,-9.32316
daddy,-10.00971,-10.27607
cut,-10.01228,-9.37248
sitting,-10.01272,-9.72747
point,-10.0137,-10.08497
knp,-10.01403,-8.59983
kaya,-10.01459,-9.37245
dgn,-10.01613,-10.18226
enjoyed,-10.0181,-11.6129
dimana,-10.0222,-9.97174
info,-10.02246,-10.86633
amiga,-10.02255,-9.60198
sembuh,-10.02486,-9.85984
seems,-10.02686,-9.39804
!?,-10.02758,-9.54242
fucking,-10.02765,-8.96827
oooh,-10.02771,-10.35245
warm,-10.02823,-10.21043
account,-10.02944,-10.13402
write,-10.03068,-9.85465
fav,-10.03237,-10.77927
bagi,-10.03378,-10.98733
radio,-10.0356,-10.22504
awake,-10.03671,-9.15334
terima,-10.03743,-11.57186
cepet,-10.03775,-9.77734
join,-10.0402,-10.41581
